genes,3primcount,strand,ensembl_start,ensembl_end,refseq_term_left,refseq_term_right,ref_seq_overhang,,update_start,update_end,comments,,,
Msantd3,340,+,48539935,48561919,0,48565892,3973,,,48565892,Refseq end,,,
Ercc8,339,+,108158731,108195364,0,108201204,5840,,,108201204,Refseq end,,,
Zfp759,337,+,67121660,67141787,0,67142404,617,,,67142404,Refseq end,,,
Csnk1g3,335,+,53862122,53955548,0,53955684,136,,,53955684,Refseq end,,,
Gm31105,335,+,80879940,80881169,0,80881864,695,,,80881864,Refseq end,,,
Gpr12,334,-,146582398,146585239,146582150,0,248,,146582150,,Refseq end,,,
Hspa1b,334,-,34956436,34959238,34956429,0,7,,34956429,,Refseq end,,,
Mga,334,+,119897228,119969581,0,119970129,548,,,119970129,Refseq end,,,
Sgcz,334,-,37522298,38661508,37517840,0,4458,,37517840,,Refseq end,,,
Mtrf1l,331,-,5811887,5823910,5811119,0,768,,5811119,,Refseq end,,,
Akr7a5,330,+,139310744,139318426,0,139318786,360,,,139318786,Refseq end,,,
Arhgef15,329,-,68943155,68957480,68927970,0,15185,,68927970,,Refseq end,,,
Sparc,329,-,55394500,55423183,55394159,0,341,,55394159,,Refseq end,,,
Disc1,326,+,125054195,125261858,0,125265143,3285,,,125265143,Refseq end,,,
Gm13830,326,+,115301120,115319208,0,115320082,874,,,115320082,Refseq end,,,
Gm39059,325,-,100542338,100543180,100541354,0,984,,100541354,,Refseq end,,,
Mrpl41,325,-,24974117,24975098,24972470,0,1647,,24972470,,Refseq end,,,
Gm15867,319,+,192854923,192856246,0,192856856,610,,,192856856,Refseq end,,,
Anks6,318,-,47015669,47057427,47015365,0,304,,47015365,,Refseq end,,,
Arhgef19,317,+,141239499,141257564,0,141257915,351,,,141257915,Refseq end,,,
Ccdc171,317,+,83525545,83864670,0,83866143,1473,,,83866143,Refseq end,,,
Htr6,316,-,139061108,139075570,139059705,0,1403,,139059705,,Refseq end,,,
Vwc2,316,+,11114223,11268931,0,11273626,4695,,,11273626,Refseq end,,,
Rbpj,315,+,53466152,53657362,0,53657445,83,,,53657445,Refseq end,,,
Zscan2,313,+,80860920,80876537,0,80878675,2138,,,80878675,Refseq end,,,
Pole4,312,-,82618992,82705365,82618924,0,68,,82618924,,Refseq end,,,
Abca6,311,-,110176820,110251776,110174638,0,2182,,110174638,,Refseq end,,,
Rbms2,309,-,128131558,128180297,128129470,0,2088,,128129470,,Refseq end,,,
Zfp26,309,-,20428449,20460162,20428318,0,131,,20428318,,Refseq end,,,
Fgf23,308,+,127072902,127081408,0,127082296,888,,,127082296,Refseq end,,,
Alad,307,-,62509169,62519918,62505984,0,3185,,62505984,,Refseq end,,,
Brd7,307,-,88331039,88362194,88330598,0,441,,88330598,,Refseq end,,,
Chtop,303,-,90498956,90509498,90498539,0,417,,90498539,,Refseq end,,,
Ube2i,303,-,25261916,25274622,25260510,0,1406,,25260510,,Refseq end,,,
Cep68,302,-,20227037,20249429,20226688,0,349,,20226688,,Refseq end,,,
Cd53,301,-,106759921,106790149,106758861,0,1060,,106758861,,Refseq end,,,
Gm11592,298,+,97280128,97282897,0,97283310,413,,,97283310,Refseq end,,,
Gm41396,297,+,98934325,98940553,0,98942526,1973,,,98942526,Refseq end,,,
Slc52a2,297,+,76538832,76544608,0,76547878,3270,,,76547878,Refseq end,,,
Tfr2,295,+,137569840,137587481,0,137588081,600,,,137588081,Refseq end,,,
Atp13a2,294,+,140986873,141007330,0,141007701,371,,,141007701,Refseq end,,,
D630039A03Rik,294,-,57908483,57916297,57908384,0,99,,57908384,,Refseq end,,,
Junos,291,+,95051534,95167318,0,95169036,1718,,,95169036,Refseq end,,,
Zfp931,290,-,178067695,178078476,178066878,0,817,,178066878,,Refseq end,,,
Nosip,288,+,45062429,45078210,0,45078503,293,,,45078503,Refseq end,,,
Asap3,287,+,136206365,136245216,0,136246577,1361,,,136246577,Refseq end,,,
Gm4285,287,-,75843379,75844964,75842918,0,461,,75842918,,Refseq end,,,
Zfp605,287,+,110110092,110129794,0,110131536,1742,,,110131536,Refseq end,,,
Maml2,286,+,13297957,13709388,0,13709533,145,,,13709533,Refseq end,,,
Mcm8,286,+,132816141,132844197,0,132844197,0,,,132844770,Pool lab modified,,,
Dydc2,284,-,41049117,41069208,41048957,0,160,,41048957,,Refseq end,,,
Uros,282,-,133686243,133710072,133686142,0,101,,133686142,,Refseq end,,,
Arhgap24,280,+,102481391,102897937,0,102905035,7098,,,102905035,Refseq end,,,
Hbq1b,280,+,32286965,32287784,0,32296033,8249,,,32296033,Refseq end,,,
Gm30400,278,+,78747130,78767585,0,78772355,4770,,,78772355,"Refseq end, Pool lab verified",,,
Rab19,277,+,39381175,39390380,0,39390666,286,,,39390666,Refseq end,,,
Prkaa2,274,-,105029874,105109890,105029162,0,712,,105029162,,Refseq end,,,
Dcaf17,273,+,71055328,71099142,0,71116414,17272,,,71116414,"Refseq end, Pool lab verified",,,
Gm32224,270,+,25127788,25135852,0,25136234,382,,,25136234,Refseq end,,,
Lmtk3,269,+,45783738,45804144,0,45806891,2747,,,45806891,Refseq end,,,
Nab1,268,-,52457294,52500679,52455849,0,1445,,52455849,,Refseq end,,,
Zfp853,267,-,143287038,143293623,143285999,0,1039,,143285999,,Refseq end,,,
Adprhl1,263,-,13221663,13254162,13218782,0,2881,,13218782,,Refseq end,,,
Gm13420,263,-,29744919,29751685,29743169,0,1750,,29743169,,Refseq end,,,
Psmd1,262,+,86064387,86139151,0,86139295,144,,,86139295,Refseq end,,,
Scg5,262,-,113776362,113829121,113776313,0,49,,113776313,,Refseq end,,,
Ocrl,260,+,47912387,47965868,0,47966428,560,,,47966428,Refseq end,,,
Dscam,259,-,96590840,97170752,96587452,0,3388,,96587452,,Refseq end,,,
Cep76,257,-,67617800,67641336,67616962,0,838,,67616962,,Refseq end,,,
Gm30340,257,-,17328694,17334425,17321506,0,7188,,17321506,,Refseq end,,,
Penk,257,-,4133531,4138819,4133530,0,1,,4132896,,Pool lab modified,,,
Adamts3,255,-,89677087,89883334,89673841,0,3246,,89673841,,Refseq end,,,
Erbb4,254,-,68032186,69108059,68031884,0,302,,68031884,,Refseq end,,,
Plcz1,254,-,139989673,140041457,139988272,0,1401,,139988250,,Refseq end + Pool lab modified,,,
C130060C02Rik,253,+,15985078,16010696,0,16010912,216,,,16010912,Refseq end,,,
Musk,253,+,58285960,58374303,0,58377848,3545,,,58377848,Refseq end,,,
Prkar2b,252,-,31958476,32061296,31958450,0,26,,31958450,,"Refseq end, Pool lab verified",,,
Dthd1,251,+,62811674,62888308,0,62888318,10,,,62892520,Pool lab modified,,,
Gm34081,251,-,109493529,109516740,109493125,0,404,,109492650,,Refseq end + Pool lab modified,,,
Jakmip2,251,-,43531407,43687773,43526202,0,5205,,43526202,,Refseq end,,,
Megf9,251,-,70427065,70534995,70431927,0,-4862,,70423950,,Pool lab modified,,,
Rnf13,251,+,57736062,57835233,0,57835425,192,,,57836210,Refseq end + Pool lab modified,,,
Epg5,249,+,77938465,78035013,0,78037325,2312,,,78037325,Refseq end,,,
Ghsr,247,+,27371351,27378010,0,27379225,1215,,,27379225,Refseq end,,,
Cep70,244,+,99243367,99300404,0,99310455,10051,,,99310455,Refseq end,,,
Daam1,244,+,71831078,71992333,0,71992376,43,,,71992376,Refseq end,,,
Gm26747,243,+,121421238,121428043,0,121429912,1869,,,121429912,Refseq end,,,
Tom1l2,243,-,60226714,60352905,60223796,0,2918,,60223796,,Refseq end,,,
Zfp719,243,+,43579610,43593235,0,43593710,475,,,43593710,Refseq end,,,
Cntn4,242,+,105677660,106699310,0,106700141,831,,,106700141,Refseq end,,,
Dhx37,242,-,125413858,125434121,125413747,0,111,,125413747,,Refseq end,,,
Ppara,240,+,85734983,85802819,0,85806851,4032,,,85806851,Refseq end,,,
Fam228b,239,-,4739888,4769267,4738397,0,1491,,4738397,,Refseq end,,,
Ddx10,237,-,53098635,53248053,53098454,0,181,,53098454,,Refseq end,,,
Dut,237,+,125247190,125258608,0,125259049,441,,,125259049,Refseq end,,,
Marcks,237,-,37133375,37138920,37133243,0,132,,37133243,,Refseq end,,,
Plscr5,237,+,92192936,92209772,0,92212539,2767,,,92212539,Refseq end,,,
Gm36677,236,+,59618590,59619055,0,59623975,4920,,,59623975,"Refseq end, Pool lab verified",,,
Thumpd2,236,-,81026332,81065082,81024247,0,2085,,81024247,,Refseq end,,,
Gm11007,235,+,175643978,175653860,0,175655008,1148,,,175655008,Refseq end,,,
Efhb,234,-,53398889,53463321,53398044,0,845,,53398044,,Refseq end,,,
Slc25a10,234,+,120491840,120499187,0,120501161,1974,,,120501161,Refseq end,,,
Ifitm7,233,-,13981699,13986888,13981254,0,445,,13981254,,Refseq end,,,
Rundc3a,232,+,102393403,102402555,0,102402939,384,,,102402939,Refseq end,,,
Phkb,229,+,85840959,86061376,0,86064251,2875,,,86064251,Refseq end,,,
Nat1,228,+,67480921,67492104,0,67492582,478,,,67492582,Refseq end,,,
Gm34921,227,-,99267686,99270446,99266864,0,822,,99266864,,"Refseq end, Pool lab verified",,,
Otx2,225,-,48657677,48673819,48657452,0,225,,48655900,,Refseq end + Pool lab modified,,,
Mettl6,224,-,31473578,31495040,31460360,0,13218,,31460360,,"Refseq end, Pool lab verified",,,
Unc79,222,+,102948859,103184065,0,103184228,163,,,103184228,Refseq end,,,
Zfp111,222,-,24193947,24211443,24193215,0,732,,24193215,,Refseq end,,,
Phc3,221,-,30899371,30969415,30899295,0,76,,30899295,,Refseq end,,,
Scube1,221,-,83604999,83725021,83602583,0,2416,,83602583,,Refseq end,,,
2810021J22Rik,219,+,58867216,58883288,0,58884338,1050,,,58884338,Refseq end,,,
Fut10,218,+,31187331,31261738,0,31265284,3546,,,31265284,Refseq end,,,
Gm2164,218,-,124528924,124657169,124522925,0,5999,,124522925,,Refseq end,,,
Tmem254c,217,-,26063919,26067355,26063751,0,168,,26063751,,Refseq end,,,
Vti1a,217,+,55316295,55627309,0,55627461,152,,,55627461,Refseq end,,,
Morn3,216,-,123035769,123047016,123033389,0,2380,,123030910,,Refseq end + splicing informed,,,
Palmd,216,-,116918258,116968987,116918262,0,-4,,116917565,,Pool lab modified,,,
Slc22a17,216,-,54906304,54913132,54906727,0,-423,,54905940,,Pool lab modified,,,
Ulk2,216,-,61775649,61855073,61775598,0,51,,61775598,,Refseq end,,,
Zfp52,214,+,21535539,21562601,0,21563362,761,,,21563362,Refseq end,,,
Gm40493,213,+,38659763,38671066,0,38671308,242,,,38671308,Refseq end,,,
Cep89,212,+,35397035,35438689,0,35439828,1139,,,35439828,Refseq end,,,
Gm40193,212,-,70532232,70532939,70532174,0,58,,70532174,,Refseq end,,,
Lrp4,211,+,91457511,91513779,0,91513901,122,,,91513901,Refseq end,,,
Pdcd1,211,-,94038305,94052553,94038305,0,0,,94035660,,Pool lab modified,,,
Bod1,210,-,31665181,31671885,31665150,0,31,,31665150,,"Refseq end, Pool lab verified",,,
Gm36198,210,-,21367396,21369184,21362170,0,5226,,21362170,,"Refseq end, Pool lab verified",,,
Sgk3,210,+,9798107,9900845,0,9902570,1725,,,9902570,Refseq end,,,
Nup35,208,+,80617236,80658906,0,80660071,1165,,,80660071,Refseq end,,,
Scel,208,+,103513342,103612797,0,103613346,549,,,103613346,Refseq end,,,
Ccdc159,206,+,21927471,21935872,0,21936256,384,,,21936256,Refseq end,,,
Mpzl1,206,-,165592240,165634538,165592181,0,59,,165592181,,Refseq end,,,
Nap1l2,206,-,103184176,103186640,103184059,0,117,,103184059,,Refseq end,,,
Hbb-bh2,205,-,103839124,103840520,103838801,0,323,,103838801,,Refseq end,,,
Map3k3,204,+,106084613,106155446,0,106156653,1207,,,106156653,Refseq end,,,
Spryd7,204,-,61531993,61556886,61531851,0,142,,61531851,,Refseq end,,,
Dzip1l,203,+,99629496,99669256,0,99670075,819,,,99670075,Refseq end,,,
Zfp189,203,+,49521176,49531517,0,49531558,41,,,49531558,Refseq end,,,
Cldn34c2,202,+,123576286,123602172,0,123605024,2852,,,123605024,Refseq end,,,
Scfd1,202,+,51377510,51450101,0,51450102,1,,,51450102,Refseq end,,,
Cfap99,201,+,34288600,34327327,0,34328861,1534,,,34328861,Refseq end,,,
Kdm8,201,+,125444676,125462269,0,125463651,1382,,,125463651,Refseq end,,,
Sytl5,201,+,9885622,9994543,0,9998864,4321,,,9998864,Refseq end,,,
Tsc22d2,201,+,58414715,58466783,0,58466787,4,,,58466787,Refseq end,,,
Ttc21b,201,-,66184327,66256617,66183787,0,540,,66183787,,Refseq end,,,
Xkr7,201,+,153031852,153055775,0,153060294,4519,,,153060294,Refseq end,,,
Hist1h2bn,200,+,21754123,21754503,0,21754553,50,,,21755260,Pool lab modified,,,
Dnah12,199,+,26693274,26891703,0,26892284,581,,,26892284,Refseq end,,,
Gm35101,199,+,99669514,99675623,0,99692014,16391,,,99692014,"Refseq end, Pool lab verified",,,
Inpp4b,199,+,81342556,82127914,0,82134316,6402,,,82134316,Refseq end,,,
Pnpt1,199,+,29130744,29161828,0,29162010,182,,,29162010,Refseq end,,,
Rpp14,198,+,8080367,8091834,0,8092127,293,,,8092127,Refseq end,,,
Htr7,197,-,35958734,36057507,35958415,0,319,,35958415,,Refseq end,,,
Sgtb,197,+,104109741,104141735,0,104142492,757,,,104142492,Refseq end,,,
Zfp791,197,-,85108553,85123095,85107168,0,1385,,85107168,,Refseq end,,,
Fkbpl,196,+,34644764,34646324,0,34647316,992,,,34647316,Refseq end,,,
Lin52,196,+,84451422,84546145,0,84546515,370,,,84546515,Refseq end,,,
Fyb,194,+,6522853,6663313,0,6665608,2295,,,6665608,Refseq end,,,
Gm39526,193,+,94731399,94745359,0,94746915,1556,,,94746915,"Refseq end, Pool lab verified",,,
Zfp825,192,-,74480054,74493992,74478483,0,1571,,74478483,,Refseq end,,,
Abcf3,191,+,20548577,20561379,0,20561603,224,,,20561603,"Refseq end, Pool lab verified",,,
Mib2,191,-,155654677,155669198,155654470,0,207,,155654470,,Refseq end,,,
Trmt5,191,-,73280011,73286710,73268515,0,11496,,73268515,,Refseq end,,,
Tubb1,191,+,174450695,174457882,0,174458380,498,,,174458380,Refseq end,,,
Wdr82,190,+,106170928,106191139,0,106191706,567,,,106191706,Refseq end,,,
Kcnv1,189,-,45106284,45114920,45096086,0,10198,,45096086,,Refseq end,,,
Calcoco2,188,-,96099326,96111964,96098916,0,410,,96098916,,Refseq end,,,
Ccdc83,187,-,90223873,90265777,90223500,0,373,,90223500,,Refseq end,,,
Gm30018,187,-,65526153,65531801,65522429,0,3724,,65522429,,Refseq end,,,
Gm38293,187,-,180763497,180768656,180762564,0,933,,180762564,,"Refseq end, Pool lab verified",,,
Gucy2f,187,-,142081160,142196931,142079289,0,1871,,142079289,,Refseq end,,,
Anapc10,186,+,79711820,79779059,0,79779630,571,,,79779630,Refseq end,,,
Mical3,186,-,120931707,121130999,120931546,0,161,,120931546,,Refseq end,,,
C430049B03Rik,185,-,53055046,53057190,53053112,0,1934,,53053112,,"Refseq end, Pool lab verified",,,
Etv1,185,+,38779380,38870484,0,38868215,-2269,,,38871411,Pool lab modified,,,
Lrriq1,184,-,103046031,103236322,103044377,0,1654,,103044377,,Refseq end,,,
Ttc4,184,-,106662256,106678944,106658202,0,4054,,106658202,,Refseq end,,,
Dsn1,183,-,156995265,157007154,156995062,0,203,,156995062,,Refseq end,,,
Galnt6,181,-,100691813,100729376,100689915,0,1898,,100689915,,Refseq end,,,
Arl2bp,180,+,94666600,94674425,0,94674457,32,,,94674457,Refseq end,,,
Gm15569,180,+,86185728,86187152,0,86187222,70,,,86187222,Refseq end,,,
Pogz,179,+,94837567,94882326,0,94883569,1243,,,94883569,Refseq end,,,
Zfp97,179,+,17121415,17146831,0,17146878,47,,,17146878,Refseq end,,,
Hgh1,178,+,76368898,76371437,0,76371854,417,,,76371854,Refseq end,,,
Oprd1,178,-,132110726,132144486,132107669,0,3057,,132107669,,Refseq end,,,
Tle4,178,-,14448150,14598051,14448072,0,78,,14448072,,Refseq end,,,
Gm33508,177,+,24533862,24546531,0,24546779,248,,,24546779,Refseq end,,,
Rxra,177,+,27676440,27762957,0,27763319,362,,,27763319,Refseq end,,,
Ms4a4a,176,+,11375523,11392790,0,11392915,125,,,11392915,Refseq end,,,
Rnf122,176,+,31111820,31131482,0,31132071,589,,,31132071,Refseq end,,,
Gm32687,175,+,81863934,81881081,0,81882906,1825,,,81882906,Refseq end,,,
Psma1,174,-,114264606,114276118,114264550,0,56,,114264550,,Refseq end,,,
Zdhhc14,174,+,5492557,5753811,0,5753891,80,,,5753891,Refseq end,,,
Zscan20,174,-,128583539,128610098,128578670,0,4869,,128578670,,Refseq end,,,
Cwc15,173,+,14500617,14510577,0,14510620,43,,,14510620,Refseq end,,,
Gm12371,173,+,36952966,36988032,0,36988513,481,,,36988513,Refseq end,,,
Gcat,171,+,79030874,79038353,0,79042531,4178,,,79042531,Refseq end,,,
Gjc1,171,-,102799579,102819700,102799472,0,107,,102799472,,Refseq end,,,
Plekha3,171,+,76675281,76696828,0,76697335,507,,,76697335,Refseq end,,,
Zfp1,171,+,111643401,111671011,0,111671108,97,,,111671108,Refseq end,,,
Rnasel,170,+,153749426,153764221,0,153768690,4469,,,153768690,Refseq end,,,
Fgf3,169,+,144838083,144844436,0,144844447,11,,,144845875,Splicing informed,,,
Plcd3,169,-,103070304,103101658,103069236,0,1068,,103069236,,Refseq end,,,
Zfp648,169,+,154201187,154205689,0,154213209,7520,,,154213209,Refseq end,,,
Zfpm1,169,+,122282141,122337251,0,122337862,611,,,122337862,Refseq end,,,
Fbxo47,168,-,97853826,97884154,97851558,0,2268,,97851558,,Refseq end,,,
Slc46a3,168,-,147878437,147894815,147877846,0,591,,147877846,,Refseq end,,,
Srsf1,168,+,88047373,88053755,0,88053757,2,,,88053757,Refseq end,,,
Fan1,167,-,64346758,64374095,64345977,0,781,,64345977,,Refseq end,,,
Gm33103,167,-,68971145,69001683,68970449,0,696,,68970449,,Refseq end,,,
Iqsec2,167,+,152144268,152225236,0,152225237,1,,,152225237,Refseq end,,,
Rptor,167,+,119602905,119899576,0,119899591,15,,,119899591,Refseq end,,,
Uap1,167,-,170141938,170174957,170141223,0,715,,170141223,,Refseq end,,,
Ankrd34a,166,+,96596636,96599775,0,96600126,351,,,96600126,Refseq end,,,
Btg2,166,-,134075170,134079120,134074865,0,305,,134074865,,Refseq end,,,
Galntl6,166,-,57774052,58912640,57772489,0,1563,,57772489,,Refseq end,,,
Gm33228,165,+,26007557,26215653,0,26216558,905,,,26216558,Refseq end,,,
Ifit3,165,+,34583531,34588731,0,34588982,251,,,34588982,Refseq end,,,
Tmub2,165,+,102284931,102289237,0,102289427,190,,,102289427,Refseq end,,,
Enoph1,164,+,100039985,100068760,0,100068925,165,,,100068925,Refseq end,,,
Gtf3c3,164,-,54396004,54438971,54395877,0,127,,54395877,,Refseq end,,,
Polr1b,164,+,129100995,129126594,0,129128060,1466,,,129128060,Refseq end,,,
Gm11963,163,+,5498840,5505699,0,5506586,887,,,5506586,Refseq end,,,
Nyap2,163,+,81076950,81341764,0,81367705,25941,,,81367705,"Refseq end, Pool lab verified",,,
Rxfp3,163,-,11033717,11037991,11033717,0,0,,11032491,,Pool lab modified,,,
Zfp287,163,-,62700356,62731905,62692444,0,7912,,62692444,,Refseq end,,,
Anln,162,-,22332012,22389188,22331214,0,798,,22331214,,Refseq end,,,
B3galt1,162,+,67565871,68122689,0,68122882,193,,,68122882,Refseq end,,,
Mreg,162,-,72159442,72212307,72159233,0,209,,72159233,,Refseq end,,,
Otud1,162,+,19657752,19660583,0,19660590,7,,,19660590,Refseq end,,,
Shroom3,162,+,92683435,92965318,0,92965759,441,,,92965759,Refseq end,,,
Vrk1,162,+,106010228,106077426,0,106078318,892,,,106078318,Refseq end,,,
Zfp658,160,+,43562256,43575461,0,43576142,681,,,43576142,Refseq end,,,
Tlr9,158,+,106222598,106226883,0,106226876,-7,,,106227720,Pool lab modified,,,
Ipo5,157,+,120911224,120947999,0,120948046,47,,,120948046,Refseq end,,,
Gm12963,156,-,130024256,130047774,130022980,0,1276,,130022980,,Refseq end,,,
Gm36546,156,-,43670841,43671314,43669263,0,1578,,43669263,,Refseq end,,,
Pus7,155,-,23740648,23783711,23740165,0,483,,23740165,,Refseq end,,,
Tor1b,154,+,30952959,30959015,0,30963458,4443,,,30963458,Refseq end,,,
Zfp346,154,+,55105311,55134825,0,55135071,246,,,55135071,Refseq end,,,
Gm5784,153,+,19387809,19433081,0,19435162,2081,,,19435162,"Refseq end, Pool lab verified",,,
Pcyox1l,153,-,61696837,61707635,61696164,0,673,,61696164,,Refseq end,,,
Prkra,153,-,76629898,76648015,76609215,0,20683,,76609215,,"Refseq end, Pool lab verified",,,
Chrm4,152,+,91927249,91928688,0,91929835,1147,,,91929835,Refseq end,,,
Herc6,152,+,57581000,57664632,0,57665136,504,,,57665136,Refseq end,,,
Krba1,151,+,48395586,48419781,0,48419855,74,,,48419855,Refseq end,,,
Slc25a43,151,+,36743659,36777202,0,36777307,105,,,36777307,Refseq end,,,
Parp11,150,+,127446840,127494261,0,127513865,19604,,,127513865,"Refseq end, Pool lab verified",,,
Zfp410,150,+,84316852,84343723,0,84344439,716,,,84344439,Refseq end,,,
Atl2,149,-,79848390,79896123,79848352,0,38,,79847910,,Refseq end + Pool lab modified,,,
Gm833,149,+,152697540,152700515,0,152700922,407,,,152700922,Refseq end,,,
Mark1,149,-,184896789,184999570,184896424,0,365,,184896424,,Refseq end,,,
Sema3c,149,+,17574281,17730268,0,17730268,0,,,17731938,Pool lab modified,,,
E130309D02Rik,148,-,143301195,143315360,143301072,0,123,,143301072,,"Refseq end, Pool lab verified",,,
Sept11,148,+,93093437,93176447,0,93181736,5289,,,93181736,Refseq end,,,
Gm13853,147,-,33984989,33992411,33981811,0,3178,,33981811,,"Refseq end, Pool lab verified",,,
Las1l,147,-,95935335,95956962,95920045,0,15290,,95920045,,"Refseq end, Pool lab verified",,,
Lingo1,147,-,56618475,56796468,56618460,0,15,,56618245,,"Pool lab modified, continuous",,,
Gm13524,146,+,32846186,32848168,0,32850448,2280,,,32850448,"Refseq end, Pool lab verified",,,
Stx4a,146,+,127824294,127849019,0,127850988,1969,,,127850988,Refseq end,,,
Gm5737,145,+,120812365,120831193,0,120831899,706,,,120831899,Refseq end,,,
Doc2b,144,-,75768966,75796049,75768270,0,696,,75768270,,Refseq end,,,
Gm12031,144,-,20145567,20146344,20145397,0,170,,20145397,,Refseq end,,,
Meis2,144,-,115863064,116065839,115861264,0,1800,,115861264,,"Refseq end, Pool lab verified",,,
Mertk,144,+,128698956,128802894,0,128803162,268,,,128803162,"Refseq end, Pool lab verified",,,
A830005F24Rik,143,+,48513570,48514859,0,48515002,143,,,48515002,"Refseq end, Pool lab verified",,,
Arv1,143,+,124722139,124734123,0,124740270,6147,,,124740270,Refseq end,,,
Gad2,143,+,22622205,22693874,0,22693877,3,,,22693877,Refseq end,,,
Gm12695,143,-,96723647,96785186,96723349,0,298,,96723349,,Refseq end,,,
Syn3,142,-,86055125,86498896,86048746,0,6379,,86048746,,Refseq end,,,
Tbc1d8b,142,+,139684996,139753405,0,139754221,816,,,139754221,Refseq end,,,
Zfp457,141,-,67288138,67306485,67288137,0,1,,67288137,,Refseq end,,,
Acvr2b,140,+,119402118,119434995,0,119442148,7153,,,119442148,Refseq end,,,
Wnt2b,139,-,104945272,104961921,104944805,0,467,,104944805,,Refseq end,,,
BC049715,138,+,136827626,136840662,0,136841920,1258,,,136841920,Refseq end,,,
Mroh6,138,-,75884137,75888770,75882465,0,1672,,75882465,,Refseq end,,,
Myrip,138,+,120301513,120474841,0,120476101,1260,,,120476101,Refseq end,,,
Tpmt,138,-,47022482,47044737,47021987,0,495,,47021987,,Refseq end,,,
Actn1,137,-,80167547,80260371,80167542,0,5,,80167542,,Refseq end,,,
Ctnnbl1,137,+,157737401,157891614,0,157891903,289,,,157891903,Refseq end,,,
Sema6c,137,+,95160457,95174024,0,95174050,26,,,95174050,"Refseq end, Pool lab verified",,,
Crebrf,135,+,26715650,26776635,0,26780985,4350,,,26780985,Refseq end,,,
Fkbp5,135,-,28399094,28517527,28398753,0,341,,28398753,,Refseq end,,,
Gm14154,135,-,151947273,151950641,151946975,0,298,,151946975,,Refseq end,,,
2500002B13Rik,133,+,57488054,57508877,0,57510262,1385,,,57510262,"Refseq end, Pool lab verified",,,
Lpar5,132,+,125067920,125082472,0,125086129,3657,,,125086129,Refseq end,,,
Mgat4c,132,+,101681487,102391469,0,102391851,382,,,102391851,Refseq end,,,
Mrpl22,131,+,58171661,58179565,0,58179580,15,,,58179580,Refseq end,,,
Adgrf3,130,-,30193431,30205722,30192711,0,720,,30192711,,Refseq end,,,
Cyp27b1,130,+,127048250,127053006,0,127053422,416,,,127053422,Refseq end,,,
Gm15517,130,+,44261447,44261891,0,44263736,1845,,,44263736,"Refseq end, Pool lab verified",,,
Med12,130,+,101274030,101297465,0,101298934,1469,,,101298934,Refseq end,,,
Mia3,130,-,183326725,183369553,183326236,0,489,,183326236,,Refseq end,,,
Ptk7,130,-,46564471,46629504,46564451,0,20,,46564451,,Refseq end,,,
Stard4,130,-,33199355,33213862,33199142,0,213,,33199142,,Refseq end,,,
Dbnl,129,+,5788488,5800962,0,5800980,18,,,5800980,Refseq end,,,
Gm21814,129,+,149566090,149583656,0,149585844,2188,,,149585844,Refseq end,,,
Gm29797,129,+,181657034,181659467,0,181659614,147,,,181659614,Refseq end,,,
Gm34776,129,-,72940238,72949792,72939941,0,297,,72939941,,Refseq end,,,
Hist1h2bp,129,+,21787461,21789213,0,21801561,12348,,,21801561,"Refseq end, Pool lab verified",,,
Ccdc34,128,+,110017817,110173360,0,110174555,1195,,,110174555,Refseq end,,,
Sco1,128,+,67052670,67067070,0,67067444,374,,,67067444,Refseq end,,,
Tnfrsf1b,128,-,145213463,145246870,145212368,0,1095,,145212368,,Refseq end,,,
Gm34066,127,-,54443404,54456763,54442697,0,707,,54442697,,"Refseq end, Pool lab verified",,,
Trpc1,127,-,95705082,95750375,95705067,0,15,,95705067,,"Refseq end, Pool lab verified",,,
Cdc42se2,126,-,54717456,54787675,54717415,0,41,,,,Refseq end,,,
Fam135a,126,-,24011093,24100341,24010758,0,335,,24010758,,Refseq end,,,
Gipc1,126,+,83652677,83664694,0,83664789,95,,,83664789,Refseq end,,,
Gm15631,126,-,105673064,105677581,105672338,0,726,,105672338,,"Refseq end, Pool lab verified",,,
Gm13481,125,-,48062548,48457245,48062162,0,386,,48062162,,Refseq end,,,
Gm41071,125,-,113420336,113423887,113419550,0,786,,113419550,,Refseq end,,,
Limk2,124,-,3344256,3409189,3343297,0,959,,3343297,,Refseq end,,,
Rhbdl2,124,+,123787874,123829904,0,123830201,297,,,123830201,Refseq end,,,
1600014C23Rik,123,-,45732864,45733844,45731766,0,1098,,45731766,,Refseq end,,,
2410080I02Rik,123,+,23134900,23135717,0,23137111,1394,,,23137111,Refseq end,,,
Dph7,123,+,24962400,24972163,0,24973471,1308,,,24973471,Refseq end,,,
Tpcn2,123,-,145186524,145284011,145181633,0,4891,,145181633,,Refseq end,,,
Zfp599,123,-,22247430,22259895,22244164,0,3266,,22244164,,Refseq end,,,
Gak,121,-,108569411,108629755,108569107,0,304,,108569107,,Refseq end,,,
Nploc4,121,-,120380370,120437708,120379798,0,572,,120379798,,Refseq end,,,
Plekho2,121,-,65552698,65580040,65552577,0,121,,65552577,,Refseq end,,,
Ccdc40,120,+,119228572,119265238,0,119265248,10,,,119265248,Refseq end,,,
Zfp967,120,+,176521000,176533785,0,176533821,36,,,176533821,Refseq end,,,
Metrnl,119,+,121701544,121716306,0,121717389,1083,,,121717389,Refseq end,,,
